,date,day_quarter,kwh
13676,11/2015,2.0,5025904333.0
13677,11/2015,2.0,5026892250.0
13678,11/2015,2.0,5027880225.0
13679,11/2015,2.0,5028868258.0
13680,11/2015,2.0,5029856348.0
13681,11/2015,2.0,5030844496.0
13682,11/2015,2.0,5031832703.0
13683,11/2015,2.0,5032820970.0
13684,11/2015,2.0,5033809307.0
13685,11/2015,2.0,5034797710.0
13686,11/2015,2.0,5035786181.0
13687,11/2015,2.0,5036774720.0
13688,11/2015,1.0,5037763331.0
13689,11/2015,1.0,5038752018.0
13690,11/2015,1.0,5039740780.0
13691,11/2015,1.0,5040729618.0
13692,11/2015,1.0,5041718541.0
13693,11/2015,1.0,5042707555.0
13694,11/2015,1.0,5043696673.0
13695,11/2015,1.0,5044685904.0
13696,11/2015,1.0,5045675255.0
13697,11/2015,1.0,5046664726.0
13698,11/2015,1.0,5047654320.0
13699,11/2015,1.0,5048644045.0
13700,11/2015,1.0,5049633894.0
13701,11/2015,1.0,5050623866.0
13702,11/2015,1.0,5051613957.0
13703,11/2015,1.0,5052604163.0
13704,11/2015,1.0,5053594485.0
13705,11/2015,1.0,5054584929.0
13706,11/2015,1.0,5055575498.0
13707,11/2015,1.0,5056566186.0
13708,11/2015,1.0,5057556992.0
13709,11/2015,1.0,5058547916.0
13710,11/2015,2.0,5059538959.0
13711,11/2015,2.0,5060530119.0
13712,11/2015,2.0,5061521391.0
13713,11/2015,2.0,5062512774.0
13714,11/2015,2.0,5063504273.0
13715,11/2015,2.0,5064495900.0
13716,11/2015,2.0,5065487650.0
13717,11/2015,2.0,5066479521.0
13718,11/2015,2.0,5067471510.0
13719,11/2015,2.0,5068463623.0
13720,11/2015,2.0,5069455861.0
13721,11/2015,2.0,5070448221.0
13722,11/2015,2.0,5071440701.0
13723,11/2015,2.0,5072433297.0
13724,11/2015,2.0,5073426003.0
13725,11/2015,2.0,5074418823.0
13726,11/2015,2.0,5075411756.0
13727,11/2015,3.0,5076404807.0
13728,11/2015,3.0,5077397977.0
13729,11/2015,3.0,5078391267.0
13730,11/2015,3.0,5079384676.0
13731,11/2015,3.0,5080378207.0
13732,11/2015,3.0,5081371860.0
13733,11/2015,3.0,5082365634.0
13734,11/2015,3.0,5083359526.0
13735,11/2015,3.0,5084353540.0
13736,11/2015,3.0,5085347678.0
13737,11/2015,3.0,5086341932.0
13738,11/2015,3.0,5087336301.0
13739,11/2015,3.0,5088330779.0
13740,11/2015,3.0,5089325368.0
13741,11/2015,3.0,5090320062.0
13742,11/2015,3.0,5091314855.0
13743,11/2015,3.0,5092309742.0
13744,11/2015,,5093304726.0
13745,11/2015,,5094299807.0
13746,11/2015,,5095294983.0
13747,11/2015,,5096290256.0
13748,11/2015,,5097285622.0
13749,11/2015,,5098281079.0
13750,11/2015,,5099276624.0
13751,11/2015,,5100272255.0
13752,11/2015,,5101267970.0
13753,11/2015,,5102263768.0
13754,11/2015,,5102263828.0
13755,11/2015,,5102263972.0
13756,11/2015,,5102264199.0
13757,11/2015,2.0,5102264506.0
13758,11/2015,2.0,5102264891.0
13759,11/2015,2.0,5102265355.0
13760,11/2015,2.0,5102265897.0
13761,11/2015,2.0,5102266514.0
13762,11/2015,2.0,5102267205.0
13763,11/2015,2.0,5102267968.0
13764,11/2015,2.0,5102268802.0
13765,11/2015,2.0,5102269706.0
13766,11/2015,2.0,5102270680.0
13767,11/2015,2.0,5102271724.0
13768,11/2015,2.0,5102272839.0
13769,11/2015,2.0,5102274023.0
13770,11/2015,2.0,5102275275.0
13771,11/2015,2.0,5102276596.0
13772,11/2015,2.0,5102277984.0
13773,11/2015,2.0,5102279447.0
13774,11/2015,2.0,5102280984.0
13775,11/2015,2.0,5102282596.0
13776,11/2015,2.0,5102284283.0
13777,11/2015,2.0,5102286045.0
13778,11/2015,2.0,5102287880.0
13779,11/2015,2.0,5102289788.0
13780,11/2015,2.0,5102291768.0
13781,11/2015,2.0,5102293818.0
13782,11/2015,2.0,5102295934.0
13783,11/2015,2.0,5102298115.0
13784,11/2015,2.0,5102300362.0
13785,11/2015,2.0,5102302678.0
13786,11/2015,2.0,5102305063.0
13787,11/2015,2.0,5102307517.0
13788,11/2015,2.0,5102310044.0
13789,11/2015,2.0,5102312645.0
13790,11/2015,2.0,5102315320.0
13791,11/2015,1.0,5102318074.0
13792,11/2015,1.0,5102320909.0
13793,11/2015,1.0,5102323831.0
13794,11/2015,1.0,5102326838.0
13795,11/2015,1.0,5102329935.0
13796,11/2015,1.0,5102333130.0
13797,11/2015,1.0,5102336426.0
13798,11/2015,1.0,5102339828.0
13799,11/2015,1.0,5102343341.0
13800,11/2015,1.0,5102346967.0
13801,11/2015,1.0,5102350710.0
13802,11/2015,1.0,5102354570.0
13803,11/2015,1.0,5102358546.0
13804,11/2015,1.0,5102362636.0
13805,11/2015,1.0,5102366843.0
13806,11/2015,1.0,5102371166.0
13807,11/2015,1.0,5102375611.0
13808,11/2015,1.0,5102380184.0
13809,11/2015,1.0,5102384884.0
13810,11/2015,1.0,5102389707.0
13811,11/2015,1.0,5102394647.0
13812,11/2015,1.0,5102399706.0
13813,11/2015,2.0,5102404882.0
13814,11/2015,2.0,5102410172.0
13815,11/2015,2.0,5102415577.0
13816,11/2015,2.0,5102421092.0
13817,11/2015,2.0,5102426726.0
13818,11/2015,2.0,5102432476.0
13819,11/2015,2.0,5102438351.0
13820,11/2015,2.0,5102444354.0
13821,11/2015,2.0,5102450478.0
13822,11/2015,2.0,5102456725.0
13823,11/2015,2.0,5102463089.0
13824,11/2015,2.0,5102469577.0
13825,11/2015,2.0,5102476182.0
13826,11/2015,2.0,5102482909.0
13827,11/2015,2.0,5102489757.0
13828,11/2015,2.0,5102496718.0
13829,11/2015,2.0,5102503792.0
13830,11/2015,3.0,5102510976.0
13831,11/2015,3.0,5102518269.0
13832,11/2015,3.0,5102525674.0
13833,11/2015,3.0,5102533184.0
13834,11/2015,3.0,5102540801.0
13835,11/2015,3.0,5102548526.0
13836,11/2015,3.0,5102556358.0
13837,11/2015,3.0,5102564297.0
13838,11/2015,3.0,5102572342.0
13839,11/2015,3.0,5102580494.0
13840,11/2015,3.0,5102588750.0
13841,11/2015,3.0,5102597110.0
13842,11/2015,3.0,5102605574.0
13843,11/2015,3.0,5102614138.0
13844,11/2015,3.0,5102622798.0
13845,11/2015,3.0,5102631551.0
13846,11/2015,3.0,5102640398.0
13847,11/2015,,5102649338.0
13848,11/2015,,5102658367.0
13849,11/2015,,5102667484.0
13850,11/2015,,5102676693.0
13851,11/2015,,5102685990.0
13852,11/2015,,5102695376.0
13853,11/2015,,5102704850.0
13854,11/2015,,5102714409.0
13855,11/2015,,5102724047.0
13856,11/2015,,5102733766.0
13857,11/2015,,5102743564.0
13858,11/2015,,5102753442.0
13859,11/2015,,5102763397.0
13860,11/2015,2.0,5102773429.0
13861,11/2015,2.0,5102783535.0
13862,11/2015,2.0,5102793712.0
13863,11/2015,2.0,5102803960.0
13864,11/2015,2.0,5102814276.0
13865,11/2015,2.0,5102824661.0
13866,11/2015,2.0,5102835114.0
13867,11/2015,2.0,5102845635.0
13868,11/2015,2.0,5102856226.0
13869,11/2015,2.0,5102866884.0
13870,11/2015,2.0,5102877610.0
13871,11/2015,2.0,5102888405.0
13872,11/2015,2.0,5102899269.0
13873,11/2015,2.0,5102910201.0
13874,11/2015,2.0,5102921200.0
13875,11/2015,2.0,5102932268.0
13876,11/2015,2.0,5102943412.0
13877,11/2015,2.0,5102954629.0
13878,11/2015,2.0,5102965920.0
13879,11/2015,2.0,5102977282.0
13880,11/2015,2.0,5102988718.0
13881,11/2015,2.0,5103000225.0
13882,11/2015,2.0,5103011801.0
13883,11/2015,2.0,5103023447.0
13884,11/2015,2.0,5103035162.0
13885,11/2015,2.0,5103046949.0
13886,11/2015,2.0,5103058809.0
13887,11/2015,2.0,5103070740.0
13888,11/2015,2.0,5103082746.0
13889,11/2015,2.0,5103094829.0
13890,11/2015,2.0,5103106992.0
13891,11/2015,2.0,5103119239.0
13892,11/2015,2.0,5103131570.0
13893,11/2015,2.0,5103143986.0
13894,11/2015,1.0,5103156493.0
13895,11/2015,1.0,5103169094.0
13896,11/2015,1.0,5103181796.0
13897,11/2015,1.0,5103194601.0
13898,11/2015,1.0,5103207512.0
13899,11/2015,1.0,5103220533.0
13900,11/2015,1.0,5103233671.0
13901,11/2015,1.0,5103246924.0
13902,11/2015,1.0,5103260295.0
13903,11/2015,1.0,5103273783.0
13904,11/2015,1.0,5103287388.0
13905,11/2015,1.0,5103301115.0
13906,11/2015,1.0,5103314967.0
13907,11/2015,1.0,5103328943.0
13908,11/2015,1.0,5103343042.0
13909,11/2015,1.0,5103357262.0
13910,11/2015,1.0,5103371604.0
13911,11/2015,1.0,5103386070.0
13912,11/2015,1.0,5103400657.0
13913,11/2015,1.0,5103415363.0
13914,11/2015,1.0,5103430182.0
13915,11/2015,2.0,5103445119.0
13916,11/2015,2.0,5103460177.0
13917,11/2015,2.0,5103475350.0
13918,11/2015,2.0,5103490641.0
13919,11/2015,2.0,5103506050.0
13920,11/2015,2.0,5103521576.0
13921,11/2015,2.0,5103537233.0
13922,11/2015,2.0,5103553024.0
13923,11/2015,2.0,5103568955.0
13924,11/2015,2.0,5103585024.0
13925,11/2015,2.0,5103601226.0
13926,11/2015,2.0,5103617557.0
13927,11/2015,2.0,5103634020.0
13928,11/2015,2.0,5103650607.0
13929,11/2015,2.0,5103667316.0
13930,11/2015,2.0,5103684147.0
13931,11/2015,2.0,5103701097.0
13932,11/2015,3.0,5103718171.0
13933,11/2015,3.0,5103735370.0
13934,11/2015,3.0,5103752688.0
13935,11/2015,3.0,5103770128.0
13936,11/2015,3.0,5103787690.0
13937,11/2015,3.0,5103805374.0
13938,11/2015,3.0,5103823176.0
13939,11/2015,3.0,5103841097.0
13940,11/2015,3.0,5103859138.0
13941,11/2015,3.0,5103877298.0
13942,11/2015,3.0,5103895580.0
13943,11/2015,3.0,5103913975.0
13944,11/2015,3.0,5103932479.0
13945,11/2015,3.0,5103951094.0
13946,11/2015,3.0,5103969814.0
13947,11/2015,3.0,5103988635.0
13948,11/2015,3.0,5104007555.0
13949,11/2015,,5104026572.0
13950,11/2015,,5104045683.0
13951,11/2015,,5104064886.0
13952,11/2015,,5104084184.0
13953,11/2015,,5104103570.0
13954,11/2015,,5104123042.0
13955,11/2015,,5104142599.0
13956,11/2015,,5104162234.0
13957,11/2015,,5104181944.0
13958,11/2015,,5104201729.0
13959,11/2015,,5104221588.0
13960,11/2015,,5104241521.0
13961,11/2015,,5104261527.0
13962,11/2015,2.0,5104281606.0
13963,11/2015,2.0,5104301759.0
13964,11/2015,2.0,5104321984.0
13965,11/2015,2.0,5104342281.0
13966,11/2015,2.0,5104362649.0
13967,11/2015,2.0,5104383091.0
13968,11/2015,2.0,5104403604.0
13969,11/2015,2.0,5104424186.0
13970,11/2015,2.0,5104444835.0
13971,11/2015,2.0,5104465552.0
13972,11/2015,2.0,5104486341.0
13973,11/2015,2.0,5104507201.0
13974,11/2015,2.0,5104528129.0
13975,11/2015,2.0,5104549128.0
13976,11/2015,2.0,5104570204.0
13977,11/2015,2.0,5104591359.0
13978,11/2015,2.0,5104612591.0
13979,11/2015,2.0,5104633900.0
13980,11/2015,2.0,5104655288.0
13981,11/2015,2.0,5104676751.0
13982,11/2015,2.0,5104698290.0
13983,11/2015,2.0,5104719908.0
13984,11/2015,2.0,5104741600.0
13985,11/2015,2.0,5104763365.0
13986,11/2015,2.0,5104785203.0
13987,11/2015,2.0,5104807112.0
13988,11/2015,2.0,5104829093.0
13989,11/2015,2.0,5104851149.0
13990,11/2015,2.0,5104873281.0
13991,11/2015,2.0,5104895490.0
13992,11/2015,2.0,5104917777.0
13993,11/2015,2.0,5104940145.0
13994,11/2015,2.0,5104962591.0
13995,11/2015,2.0,5104985115.0
13996,11/2015,1.0,5105007715.0
13997,11/2015,1.0,5105030397.0
13998,11/2015,1.0,5105053157.0
13999,11/2015,1.0,5105076004.0
14000,11/2015,1.0,5105098939.0
14001,11/2015,1.0,5105121969.0
14002,11/2015,1.0,5105145101.0
14003,11/2015,1.0,5105168344.0
14004,11/2015,1.0,5105191706.0
14005,11/2015,1.0,5105215189.0
14006,11/2015,1.0,5105238795.0
14007,11/2015,1.0,5105262521.0
14008,11/2015,1.0,5105286368.0
14009,11/2015,1.0,5105310338.0
14010,11/2015,1.0,5105334434.0
14011,11/2015,1.0,5105358656.0
14012,11/2015,1.0,5105383000.0
14013,11/2015,1.0,5105407471.0
14014,11/2015,1.0,5105432070.0
14015,11/2015,1.0,5105456797.0
14016,11/2015,1.0,5105481642.0
14017,11/2015,1.0,5105506601.0
14018,11/2015,2.0,5105531679.0
14019,11/2015,2.0,5105556869.0
14020,11/2015,2.0,5105582178.0
14021,11/2015,2.0,5105607605.0
14022,11/2015,2.0,5105633153.0
14023,11/2015,2.0,5105658820.0
14024,11/2015,2.0,5105684605.0
14025,11/2015,2.0,5105710511.0
14026,11/2015,2.0,5105736544.0
14027,11/2015,2.0,5105762701.0
14028,11/2015,2.0,5105788986.0
14029,11/2015,2.0,5105815396.0
14030,11/2015,2.0,5105841934.0
14031,11/2015,2.0,5105868599.0
14032,11/2015,2.0,5105895384.0
14033,11/2015,2.0,5105922288.0
14034,11/2015,2.0,5105949308.0
14035,11/2015,3.0,5105976442.0
14036,11/2015,3.0,5106003687.0
14037,11/2015,3.0,5106031043.0
14038,11/2015,3.0,5106058516.0
14039,11/2015,3.0,5106086106.0
14040,11/2015,3.0,5106113809.0
14041,11/2015,3.0,5106141628.0
14042,11/2015,3.0,5106169556.0
14043,11/2015,3.0,5106197597.0
14044,11/2015,3.0,5106225751.0
14045,11/2015,3.0,5106254020.0
14046,11/2015,3.0,5106282400.0
14047,11/2015,3.0,5106310893.0
14048,11/2015,3.0,5106339497.0
14049,11/2015,3.0,5106368203.0
14050,11/2015,3.0,5106397010.0
14051,11/2015,3.0,5106425908.0
14052,11/2015,,5106454895.0
14053,11/2015,,5106483975.0
14054,11/2015,,5106513145.0
14055,11/2015,,5106542406.0
14056,11/2015,,5106571755.0
14057,11/2015,,5106601191.0
14058,11/2015,,5106630710.0
14059,11/2015,,5106660313.0
14060,11/2015,,5106690002.0
14061,11/2015,,5106719772.0
14062,11/2015,,5106749622.0
14063,11/2015,,5106779554.0
14064,11/2015,,5106809566.0
14065,11/2015,2.0,5106839652.0
14066,11/2015,2.0,5106869814.0
14067,11/2015,2.0,5106900053.0
14068,11/2015,2.0,5106930367.0
14069,11/2015,2.0,5106960756.0
14070,11/2015,2.0,5106991221.0
14071,11/2015,2.0,5107021760.0
14072,11/2015,2.0,5107052372.0
14073,11/2015,2.0,5107083057.0
14074,11/2015,2.0,5107113812.0
14075,11/2015,2.0,5107144636.0
14076,11/2015,2.0,5107175527.0
14077,11/2015,2.0,5107206485.0
14078,11/2015,2.0,5107237514.0
14079,11/2015,2.0,5107268614.0
14080,11/2015,2.0,5107299789.0
14081,11/2015,2.0,5107331042.0
14082,11/2015,2.0,5107362373.0
14083,11/2015,2.0,5107393781.0
14084,11/2015,2.0,5107425269.0
14085,11/2015,2.0,5107456832.0
14086,11/2015,2.0,5107488472.0
14087,11/2015,2.0,5107520188.0
14088,11/2015,2.0,5107551980.0
14089,11/2015,2.0,5107583845.0
14090,11/2015,2.0,5107615782.0
14091,11/2015,2.0,5107647791.0
14092,11/2015,2.0,5107679871.0
14093,11/2015,2.0,5107712022.0
14094,11/2015,2.0,5107744245.0
14095,11/2015,2.0,5107776545.0
14096,11/2015,2.0,5107808922.0
14097,11/2015,2.0,5107841377.0
14098,11/2015,2.0,5107873910.0
14099,11/2015,1.0,5107906523.0
14100,11/2015,1.0,5107939211.0
14101,11/2015,1.0,5107971975.0
14102,11/2015,1.0,5108004812.0
14103,11/2015,1.0,5108037730.0
14104,11/2015,1.0,5108070730.0
14105,11/2015,1.0,5108103813.0
14106,11/2015,1.0,5108136982.0
14107,11/2015,1.0,5108170240.0
14108,11/2015,1.0,5108203590.0
14109,11/2015,1.0,5108237033.0
14110,11/2015,1.0,5108270570.0
14111,11/2015,1.0,5108304205.0
14112,11/2015,1.0,5108337938.0
14113,11/2015,1.0,5108371772.0
14114,11/2015,1.0,5108405712.0
14115,11/2015,1.0,5108439753.0
14116,11/2015,1.0,5108473896.0
14117,11/2015,1.0,5108508149.0
14118,11/2015,1.0,5108542505.0
14119,11/2015,1.0,5108576963.0
14120,11/2015,2.0,5108611523.0
14121,11/2015,2.0,5108646187.0
14122,11/2015,2.0,5108680955.0
14123,11/2015,2.0,5108715827.0
14124,11/2015,2.0,5108750806.0
14125,11/2015,2.0,5108785888.0
14126,11/2015,2.0,5108821072.0
14127,11/2015,2.0,5108856356.0
14128,11/2015,2.0,5108891741.0
14129,11/2015,2.0,5108927230.0
14130,11/2015,2.0,5108962819.0
14131,11/2015,2.0,5108998505.0
14132,11/2015,2.0,5109034289.0
14133,11/2015,2.0,5109070171.0
14134,11/2015,2.0,5109106149.0
14135,11/2015,2.0,5109142219.0
14136,11/2015,2.0,5109178381.0
14137,11/2015,2.0,5109214635.0
14138,11/2015,3.0,5109250980.0
14139,11/2015,3.0,5109287420.0
14140,11/2015,3.0,5109323959.0
14141,11/2015,3.0,5109360602.0
14142,11/2015,3.0,5109397355.0
14143,11/2015,3.0,5109434216.0
14144,11/2015,3.0,5109471189.0
14145,11/2015,3.0,5109508273.0
14146,11/2015,3.0,5109545469.0
14147,11/2015,3.0,5109582778.0
14148,11/2015,3.0,5109620199.0
14149,11/2015,3.0,5109657729.0
14150,11/2015,3.0,5109695369.0
14151,11/2015,3.0,5109733120.0
14152,11/2015,3.0,5109770971.0
14153,11/2015,3.0,5109808919.0
14154,11/2015,3.0,5109846966.0
14155,11/2015,,5109885108.0
14156,11/2015,,5109923342.0
14157,11/2015,,5109961667.0
14158,11/2015,,5110000080.0
14159,11/2015,,5110038579.0
14160,11/2015,,5110077159.0
14161,11/2015,,5110115820.0
14162,11/2015,,5110154562.0
14163,11/2015,,5110193385.0
14164,11/2015,,5110232289.0
14165,11/2015,,5110271275.0
14166,11/2015,,5110310341.0
14167,11/2015,2.0,5110349485.0
14168,11/2015,2.0,5110388703.0
14169,11/2015,2.0,5110427997.0
14170,11/2015,2.0,5110467365.0
14171,11/2015,2.0,5110506809.0
14172,11/2015,2.0,5110546327.0
14173,11/2015,2.0,5110585917.0
14174,11/2015,2.0,5110625580.0
14175,11/2015,2.0,5110665316.0
14176,11/2015,2.0,5110705123.0
14177,11/2015,2.0,5110745000.0
14178,11/2015,2.0,5110784946.0
14179,11/2015,2.0,5110824961.0
14180,11/2015,2.0,5110865047.0
14181,11/2015,2.0,5110905209.0
14182,11/2015,2.0,5110945448.0
14183,11/2015,2.0,5110985764.0
14184,11/2015,2.0,5111026155.0
14185,11/2015,2.0,5111066621.0
14186,11/2015,2.0,5111107163.0
14187,11/2015,2.0,5111147780.0
14188,11/2015,2.0,5111188471.0
14189,11/2015,2.0,5111229236.0
14190,11/2015,2.0,5111270075.0
14191,11/2015,2.0,5111310986.0
14192,11/2015,2.0,5111351967.0
14193,11/2015,2.0,5111393016.0
14194,11/2015,2.0,5111434133.0
14195,11/2015,2.0,5111475325.0
14196,11/2015,2.0,5111516594.0
14197,11/2015,2.0,5111557938.0
14198,11/2015,2.0,5111599361.0
14199,11/2015,2.0,5111640863.0
14200,11/2015,2.0,5111682443.0
14201,11/2015,2.0,5111724101.0
14202,11/2015,1.0,5111765832.0
14203,11/2015,1.0,5111807631.0
14204,11/2015,1.0,5111849500.0
14205,11/2015,1.0,5111891440.0
14206,11/2015,1.0,5111933450.0
14207,11/2015,1.0,5111975527.0
14208,11/2015,1.0,5112017672.0
14209,11/2015,1.0,5112059891.0
14210,11/2015,1.0,5112102182.0
14211,11/2015,1.0,5112144548.0
14212,11/2015,1.0,5112186991.0
14213,11/2015,1.0,5112229510.0
14214,11/2015,1.0,5112272101.0
14215,11/2015,1.0,5112314772.0
14216,11/2015,1.0,5112357526.0
14217,11/2015,1.0,5112400368.0
14218,11/2015,1.0,5112443299.0
14219,11/2015,1.0,5112486314.0
14220,11/2015,1.0,5112529411.0
14221,11/2015,1.0,5112572591.0
14222,11/2015,1.0,5112615850.0
14223,11/2015,2.0,5112659188.0
14224,11/2015,2.0,5112702609.0
14225,11/2015,2.0,5112746113.0
14226,11/2015,2.0,5112789699.0
14227,11/2015,2.0,5112833365.0
14228,11/2015,2.0,5112877108.0
14229,11/2015,2.0,5112920924.0
14230,11/2015,2.0,5112964816.0
14231,11/2015,2.0,5113008785.0
14232,11/2015,2.0,5113052830.0
14233,11/2015,2.0,5113096953.0
14234,11/2015,2.0,5113141154.0
14235,11/2015,2.0,5113185434.0
14236,11/2015,2.0,5113229792.0
14237,11/2015,2.0,5113274226.0
14238,11/2015,2.0,5113318739.0
14239,11/2015,2.0,5113363333.0
14240,11/2015,3.0,5113408008.0
14241,11/2015,3.0,5113452760.0
14242,11/2015,3.0,5113497598.0
14243,11/2015,3.0,5113542533.0
14244,11/2015,3.0,5113587566.0
14245,11/2015,3.0,5113632697.0
14246,11/2015,3.0,5113677929.0
14247,11/2015,3.0,5113723265.0
14248,11/2015,3.0,5113768703.0
14249,11/2015,3.0,5113814242.0
14250,11/2015,3.0,5113859882.0
14251,11/2015,3.0,5113905624.0
14252,11/2015,3.0,5113951469.0
14253,11/2015,3.0,5113997417.0
14254,11/2015,3.0,5114043462.0
14255,11/2015,3.0,5114089599.0
14256,11/2015,3.0,5114135820.0
14257,11/2015,,5114182123.0
14258,11/2015,,5114228509.0
14259,11/2015,,5114274975.0
14260,11/2015,,5114321522.0
14261,11/2015,,5114368149.0
14262,11/2015,,5114414858.0
14263,11/2015,,5114461653.0
14264,11/2015,,5114508529.0
14265,11/2015,,5114555486.0
14266,11/2015,,5114602526.0
14267,11/2015,,5114649638.0
14268,11/2015,,5114696821.0
14269,11/2015,,5114744075.0
14270,11/2015,2.0,5114791396.0
14271,11/2015,2.0,5114838785.0
14272,11/2015,2.0,5114886244.0
14273,11/2015,2.0,5114933774.0
14274,11/2015,2.0,5114981374.0
14275,11/2015,2.0,5115029044.0
14276,11/2015,2.0,5115076785.0
14277,11/2015,2.0,5115124595.0
14278,11/2015,2.0,5115172473.0
14279,11/2015,2.0,5115220418.0
14280,11/2015,2.0,5115268429.0
14281,11/2015,2.0,5115316505.0
14282,11/2015,2.0,5115364647.0
14283,11/2015,2.0,5115412856.0
14284,11/2015,2.0,5115461133.0
14285,11/2015,2.0,5115509477.0
14286,11/2015,2.0,5115557891.0
14287,11/2015,2.0,5115606376.0
14288,11/2015,2.0,5115654942.0
14289,11/2015,2.0,5115703588.0
14290,11/2015,2.0,5115752314.0
14291,11/2015,2.0,5115801118.0
14292,11/2015,2.0,5115850003.0
14293,11/2015,2.0,5115898970.0
14294,11/2015,2.0,5115948017.0
14295,11/2015,2.0,5115997142.0
14296,11/2015,2.0,5116046345.0
14297,11/2015,2.0,5116095619.0
14298,11/2015,2.0,5116144965.0
14299,11/2015,2.0,5116194384.0
14300,11/2015,2.0,5116243877.0
14301,11/2015,2.0,5116293448.0
14302,11/2015,2.0,5116343099.0
14303,11/2015,2.0,5116392833.0
14304,11/2015,1.0,5116442650.0
14305,11/2015,1.0,5116492547.0
14306,11/2015,1.0,5116542528.0
14307,11/2015,1.0,5116592597.0
14308,11/2015,1.0,5116642761.0
14309,11/2015,1.0,5116693028.0
14310,11/2015,1.0,5116743404.0
14311,11/2015,1.0,5116793902.0
14312,11/2015,1.0,5116844519.0
14313,11/2015,1.0,5116895255.0
14314,11/2015,1.0,5116946115.0
14315,11/2015,1.0,5116997100.0
14316,11/2015,1.0,5117048212.0
14317,11/2015,1.0,5117099449.0
14318,11/2015,1.0,5117150816.0
14319,11/2015,1.0,5117202317.0
14320,11/2015,1.0,5117253951.0
14321,11/2015,1.0,5117305724.0
14322,11/2015,1.0,5117357639.0
14323,11/2015,1.0,5117409695.0
14324,11/2015,1.0,5117461889.0
14325,11/2015,1.0,5117514220.0
14326,11/2015,2.0,5117566686.0
14327,11/2015,2.0,5117619282.0
14328,11/2015,2.0,5117672002.0
14329,11/2015,2.0,5117724847.0
14330,11/2015,2.0,5117777821.0
14331,11/2015,2.0,5117830926.0
14332,11/2015,2.0,5117884160.0
14333,11/2015,2.0,5117937528.0
14334,11/2015,2.0,5117991031.0
14335,11/2015,2.0,5118044667.0
14336,11/2015,2.0,5118098439.0
14337,11/2015,2.0,5118152348.0
14338,11/2015,2.0,5118206396.0
14339,11/2015,2.0,5118260587.0
14340,11/2015,2.0,5118314915.0
14341,11/2015,2.0,5118369376.0
14342,11/2015,2.0,5118423966.0
14343,11/2015,3.0,5118478680.0
14344,11/2015,3.0,5118533522.0
14345,11/2015,3.0,5118588486.0
14346,11/2015,3.0,5118643568.0
14347,11/2015,3.0,5118698767.0
14348,11/2015,3.0,5118754079.0
14349,11/2015,3.0,5118809506.0
14350,11/2015,3.0,5118865043.0
14351,11/2015,3.0,5118920693.0
14352,11/2015,3.0,5118976457.0
14353,11/2015,3.0,5119032333.0
14354,11/2015,3.0,5119088318.0
14355,11/2015,3.0,5119144409.0
14356,11/2015,3.0,5119200595.0
14357,11/2015,3.0,5119256880.0
14358,11/2015,3.0,5119313261.0
14359,11/2015,3.0,5119369737.0
14360,11/2015,,5119426306.0
14361,11/2015,,5119482963.0
14362,11/2015,,5119539708.0
14363,11/2015,,5119596542.0
14364,11/2015,,5119653464.0
14365,11/2015,,5119710470.0
14366,11/2015,,5119767555.0
14367,11/2015,,5119824715.0
14368,11/2015,,5119881945.0
14369,11/2015,,5119939244.0
14370,11/2015,,5119996608.0
14371,11/2015,,5120054040.0
14372,11/2015,,5120111542.0
14373,12/2015,2.0,5120169109.0
14374,12/2015,2.0,5120226744.0
14375,12/2015,2.0,5120284445.0
14376,12/2015,2.0,5120342212.0
14377,12/2015,2.0,5120400046.0
14378,12/2015,2.0,5120457946.0
14379,12/2015,2.0,5120515911.0
14380,12/2015,2.0,5120573942.0
14381,12/2015,2.0,5120632038.0
14382,12/2015,2.0,5120690197.0
14383,12/2015,2.0,5120748422.0
14384,12/2015,2.0,5120806711.0
14385,12/2015,2.0,5120865063.0
14386,12/2015,2.0,5120923478.0
14387,12/2015,2.0,5120981955.0
14388,12/2015,2.0,5121040496.0
14389,12/2015,2.0,5121099103.0
14390,12/2015,2.0,5121157786.0
14391,12/2015,2.0,5121216543.0
14392,12/2015,2.0,5121275375.0
14393,12/2015,2.0,5121334283.0
14394,12/2015,2.0,5121393265.0
14395,12/2015,2.0,5121452320.0
14396,12/2015,2.0,5121511447.0
14397,12/2015,2.0,5121570648.0
14398,12/2015,2.0,5121629919.0
14399,12/2015,2.0,5121689260.0
14400,12/2015,2.0,5121748669.0
14401,12/2015,2.0,5121808147.0
14402,12/2015,2.0,5121867695.0
14403,12/2015,2.0,5121927315.0
14404,12/2015,2.0,5121987007.0
14405,12/2015,2.0,5122046773.0
14406,12/2015,2.0,5122106611.0
14407,12/2015,1.0,5122166528.0
14408,12/2015,1.0,5122226523.0
14409,12/2015,1.0,5122286602.0
14410,12/2015,1.0,5122346773.0
14411,12/2015,1.0,5122407039.0
14412,12/2015,1.0,5122467404.0
14413,12/2015,1.0,5122527869.0
14414,12/2015,1.0,5122588440.0
14415,12/2015,1.0,5122649122.0
14416,12/2015,1.0,5122709917.0
14417,12/2015,1.0,5122770828.0
14418,12/2015,1.0,5122831855.0
14419,12/2015,1.0,5122892998.0
14420,12/2015,1.0,5122954258.0
14421,12/2015,1.0,5123015634.0
14422,12/2015,1.0,5123077124.0
14423,12/2015,1.0,5123138729.0
14424,12/2015,1.0,5123200448.0
14425,12/2015,1.0,5123262285.0
